Artikelid,Namn,Namn2,Varugrupp,Varnummer,Prisinklmoms,Ursprung,Producent,Argang,Alkoholhalt,Typ,RavarorBeskrivning
783804,Blondel Cuvee Prestige Premier Cru,Brut,Mousserande vin,72774,399.0,Champagne,Thierry Blondel,,12.00%,Vitt Torrt,
783814,Christian Bourmault,Cuvee Grand Eloge Premier Cru Brut,Mousserande vin,72913,379.0,Champagne,Bourmault Et Fils,,12.00%,Vitt Torrt,Chardonnay.
783830,Christian Bourmault,Cuvee Lettre à Terre Premier Cru Extra Brut,Mousserande vin,72933,379.0,Champagne,Bourmault Et Fils,,12.50%,Vitt Torrt,
783842,Frederic Thomas,Ostronakademien Blanc De Blancs Premier Cru,Mousserande vin,72792,299.0,Champagne,Domaine de Saint Sauveur,,12.00%,Vitt Torrt,
783845,Andre Thomas,Brut,Mousserande vin,72033,279.0,Champagne,Domaine de Saint Sauveur,2012.0,12.00%,Vitt Torrt,
7842,Blue Nun,,Vitt vin,6935,62.0,Rheinhessen,Langguth Erben,2015.0,8.50%,Druvigt & Blommigt,
784824,Roccolo Grassi,Amarone della Valpolicella,Rott vin,72172,850.0,Venetien,Roccolo Grassi,2012.0,16.50%,Kryddigt & Mustigt,
784948,Beaumont des Crayères,Fleur de Prestige Brut,Mousserande vin,72474,319.0,Champagne,Beaumont des Crayères,2004.0,12.00%,Vitt Torrt,"Chardonnay, pinot noir och pinot meunier."
785206,Amalia Brut,,Mousserande vin,72863,150.0,Peloponnesos,Tselepos,,12.00%,Vitt Torrt,
785397,Château Trotanoy,,Rott vin,70065,1487.0,Bordeaux,Château Trotanoy,2004.0,13.50%,Stramt & Nyanserat,
785421,Château Montrose,,Rott vin,70593,1003.0,Bordeaux,Château Montrose,2008.0,13.00%,Stramt & Nyanserat,"65% cabernet sauvignon, 30% merlot, 4% cabernet franc och 1% petit verdot."
785439,Côtes-du-Rhône,Saint-Francois,Rott vin,70526,89.0,Rhonedalen,Gabriel Meffre,2016.0,13.50%,Fruktigt & Smakrikt,"Grenache, syrah och cinsault."
786122,The Big Zin,Zinfandel Old Vines,Rott vin,2428,79.0,Apulien,ViniMundi,2016.0,13.50%,Fruktigt & Smakrikt,Zinfandel.
786139,P.Lex,Reserva,Rott vin,73308,99.0,Alentejo,Icon Wines,2015.0,14.00%,Kryddigt & Mustigt,
7880,Orvieto,Amabile,Vitt vin,2404,59.0,Umbrien,Bigi,2016.0,12.00%,Latt & Avrundat,
788116,Châteauneuf-du-Pape,E.Guigal,Rott vin,70503,339.0,Rhonedalen,E Guigal,2012.0,14.50%,Kryddigt & Mustigt,"80% grenache, 10% syrah, 5% mourvèdre samt 5% ovriga druvsorter."
7885,Montepulciano d'Abruzzo,Umani Ronchi,Rott vin,2337,70.0,Abruzzerna,Umani Ronchi,2016.0,13.00%,Mjukt & Barigt,Montepulciano.
792931,Zonin Prosecco,,Mousserande vin,76333,445.0,Venetien,Zonin,,11.00%,Vitt Torrt,
793370,Montico,The Italian Zinfandel,Rott vin,79075,89.0,Apulien,PrimeWine Sweden AB,2016.0,13.00%,Fruktigt & Smakrikt,Zinfandel.
793373,Tommasi Graticcio Appassionato,,Rott vin,5354,57.0,,Tommasi Viticoltori,2015.0,13.00%,Kryddigt & Mustigt,"Corvina veronese, rondinella och merlot."
793567,Maria Montazami,Wine Collection Zinfandel,Rott vin,70046,99.0,Kalifornien,Fondberg,2014.0,13.50%,Mjukt & Barigt,Zinfandel.
793798,Barone Montalto,Nero d'Avola Passivento,Rott vin,75416,89.0,Sicilien,Barone Montalto,2016.0,14.00%,Fruktigt & Smakrikt,Nero d'avola.
793985,Leitz Magic Mountain,Rüdesheimer Riesling Trocken,Vitt vin,70626,159.0,Rheingau,Weingut Leitz,2016.0,12.50%,Friskt & Fruktigt,Riesling.
794041,Jacques Picard,Brut,Mousserande vin,77967,600.0,Champagne,Jacques Picard,,12.00%,Vitt Torrt,
794061,The Wanted Zin,Zinfandel Old Vines,Rott vin,74659,259.0,Apulien,Orion Wines,2016.0,14.50%,Fruktigt & Smakrikt,Zinfandel.
794122,Dom Perignon,Rose,Mousserande vin,77970,3039.0,Champagne,Moët & Chandon,2005.0,12.50%,Rose,
794834,Deen De Bortoli,Vat 5 Botrytis Semillon,Vitt vin,73501,99.0,South Eastern Australia,De Bortoli,2009.0,11.00%,Sott,
795110,Signature,by Markus Aujalay,Rott vin,72548,101.0,VdlT Castilla,Los Aljibes,2013.0,13.50%,Fruktigt & Smakrikt,
